Date,Activity,Activity type,Unit,Amount executed
2025-01-07,Walling,Building,m2,4003.4114925685776
2025-04-02,Terrain leveling,Building,m3,1183.2323929173954
2025-06-18,Coat preparation,Road,L,3211.852943919705
2025-09-07,Ballast,Railway,m3,1461.1174777547449
2025-11-24,Coat preparation,Road,L,782.8397264401705
2025-04-04,Anchorage,Railway,m2,4348.392705533949
2025-08-14,Pavement,Road,m2,2092.6911228535323
2025-07-17,Anchorage,Railway,m2,2967.786392304509
2025-12-17,Rolling/Tractor,Road,m2,122.63890530203658
2025-05-07,Foundation pouring,Building,m3,3313.527811037265
2025-08-04,Ballast,Railway,m3,2625.731834275521
2025-03-23,Ballast,Railway,m3,3076.1901483642746
2025-08-22,Pavement,Road,m2,2849.9096780292743
2025-07-02,Laying steel rail,Railway,m,957.804128852619
2025-12-23,Terrain leveling,Building,m3,707.513126698146
2025-04-06,Subbase application,Road,m2,4776.132821333043
2025-10-26,Pavement,Road,m2,583.6559704415961
2025-02-19,Cement making,Building,m3,18.454667287996497
2025-08-24,Walling,Building,m2,4109.768116271368
2025-03-13,Removing trees,Building,m2,919.570853156288
2025-02-28,Laying steel rail,Railway,m,867.0825918180508
2025-06-29,Laying steel rail,Railway,m,896.0834173811184
2025-12-06,Walling,Building,m2,1097.6046235005215
2025-01-20,Anchorage,Railway,m2,481.1871145420254
2025-05-04,Ballast,Railway,m3,1603.7719878663227
2025-07-21,Ballast,Railway,m3,2155.0777349245877
2025-10-08,Pavement,Road,m2,426.07311800668845
2025-09-26,Rolling/Tractor,Road,m2,3461.2612992293425
2025-08-04,Rolling/Tractor,Road,m2,1960.6740750044517
2025-03-09,Coat preparation,Road,L,2016.0931736643772
2025-05-17,Subbase application,Road,m2,573.8569363039237
2025-12-14,Laying steel rail,Railway,m,2857.197922256793
2025-12-15,Walling,Building,m2,1690.881775035793
2025-07-29,Foundation pouring,Building,m3,607.3075723499849
2025-11-25,Foundation pouring,Building,m3,784.7333379792437
2025-01-07,Rolling/Tractor,Road,m2,4146.675983186189
2025-05-07,Removing trees,Building,m2,1712.9535418794462
2025-07-01,Removing trees,Building,m2,1554.6100594317302
