Date,Activity,Activity type,Unit,Amount planned
2025-01-04,Ballast,Railway,m3,4872.924205063387
2025-06-12,Foundation pouring,Building,m3,363.21513899701785
2025-07-18,Iron mining,Railway,m3,2456.1105626648823
2025-11-22,Laying steel rail,Railway,m,2624.521019067249
2025-10-16,Rolling/Tractor,Road,m2,2759.2545360716626
2025-11-02,Iron mining,Railway,m3,2708.0663779709607
2025-10-23,Cement making,Building,m3,303.88218733628514
2025-02-05,Pavement,Road,m2,337.34942411171255
2025-10-18,Subbase application,Road,m2,4840.266064511025
2025-07-07,Foundation pouring,Building,m3,2237.854278370284
2025-01-02,Coat preparation,Road,L,4652.042542271794
2025-07-06,Anchorage,Railway,m2,682.2402053099452
2025-09-27,Iron mining,Railway,m3,2946.5777853942204
2025-10-30,Anchorage,Railway,m2,4666.3907743175
2025-02-06,Anchorage,Railway,m2,2774.0549575702867
2025-07-03,Rolling/Tractor,Road,m2,1833.7851639050962
2025-07-09,Laying steel rail,Railway,m,125.19811548598159
2025-10-24,Ballast,Railway,m3,3293.616733668689
2025-04-09,Laying steel rail,Railway,m,2325.901751635205
2025-07-26,Iron mining,Railway,m3,1551.143262762783
2025-07-13,Rolling/Tractor,Road,m2,4874.662587436389
2025-09-25,Laying steel rail,Railway,m,1801.9609957889315
2025-07-10,Iron mining,Railway,m3,4050.3195094090074
2025-04-22,Removing trees,Building,m2,1672.1617311419434
2025-11-21,Terrain leveling,Building,m3,94.81737703271432
2025-07-06,Terrain leveling,Building,m3,3122.4403859674603
2025-12-28,Rolling/Tractor,Road,m2,3486.9864036273407
2025-09-03,Removing trees,Building,m2,4106.849014431738
2025-05-13,Walling,Building,m2,4754.0271164777005
2025-08-24,Cement making,Building,m3,1788.561515238392
2025-06-22,Ballast,Railway,m3,699.7386125372251
2025-02-07,Cement making,Building,m3,3690.15601776269
2025-01-03,Terrain leveling,Building,m3,1691.6212716648588
2025-08-08,Iron mining,Railway,m3,4290.810929605402
2025-10-07,Terrain leveling,Building,m3,2368.8091736289553
2025-11-04,Pavement,Road,m2,895.6198615797356
